Trump_2016/Trump_2016-08-12-B.txt ," ('go', 'win'), 16","('hillari', 'clinton'), 14","('year', 'ago'), 11","('unit', 'state'), 10","('go', 'happen'), 10","('new', 'york'), 9","('go', 'bring'), 8","('win', 'pennsylvania'), 8","('short', 'circuit'), 8","('peopl', 'go'), 7","('go', 'build'), 7","('thing', 'go'), 7","('second', 'amend'), 7","('bring', 'back'), 6","('see', 'happen'), 6","('let', 'tell'), 6","('build', 'plant'), 6","('take', 'look'), 6","('gener', 'electr'), 6","('take', 'care'), 6)]"
Trump_2016/Trump_2016-08-15.txt ," ('radic', 'islam'), 13","('hillari', 'clinton'), 12","('unit', 'state'), 11","('presid', 'obama'), 11","('middl', 'east'), 11","('islam', 'terror'), 10","('make', 'america'), 7","('thank', 'thank'), 5","('state', 'america'), 5","('trump', 'thank'), 5","('keep', 'oil'), 5","('donald', 'trump'), 4","('america', 'safe'), 4","('polic', 'offic'), 4","('cold', 'war'), 4","('9', '/'), 4","('/', '11'), 4","('penc', '",,
Trump_2016/Trump_2016-08-16.txt ," ('african', 'american'), 15","('hillari', 'clinton'), 14","('thank', 'thank'), 8","('audienc', '",,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-17.txt ," ('hanniti', '",,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-18.txt ," ('hillari', 'clinton'), 20","('audienc', '",,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-19.txt ," ('hillari', 'clinton'), 21","('audienc', '",,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-22.txt ," ('hillari', 'clinton'), 25","('african', 'american'), 12","('applaus', 'go'), 10","('usa', '!'), 6","('!', 'usa'), 6","('state', 'depart'), 6","('go', 'win'), 5","('audienc', '",,,,,,,,,,,,
Trump_2016/Trump_2016-08-23.txt ," ('audienc', 'boo'), 31","('trump', '!'), 22","('!', 'trump'), 18","('hillari', 'clinton'), 16","('audienc', '",,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-24-A.txt ," ('hillari', 'clinton'), 23","('african', 'american'), 12","('.<', 'applaus'), 9","('applaus', 'trump'), 9","('clinton', 'want'), 9","('go', 'protect'), 8","('novemb', '8th'), 7","('protect', 'job'), 7","('go', 'happen'), 7","('50', 'percent'), 7","('inner', 'citi'), 7","('bill', 'clinton'), 7","('unit', 'state'), 7","('job', 'job'), 6","('audienc', '",,,,,
Trump_2016/Trump_2016-08-24-B.txt ," ('hillari', 'clinton'), 16","('(', 'applaus'), 14","('applaus', ')'), 12","('african', 'american'), 10","('unit', 'state'), 9","('usa', '!'), 8","('!', 'usa'), 8","('thank', 'much'), 6","('novemb', '8th'), 5","('audienc', '",,,,,,,,,,
Trump_2016/Trump_2016-08-25.txt ," ('hillari', 'clinton'), 21","('african', 'american'), 12","('audienc', 'boo'), 9","('inner', 'citi'), 8","('special', 'interest'), 7","('new', 'hampshir'), 6","('clinton', 'foundat'), 5","('state', 'depart'), 5","('mani', 'peopl'), 5","('american', 'peopl'), 5","('peopl', 'applaus'), 4","('go', 'happen'), 4","('secretari', 'state'), 4","('unit', 'state'), 4","('e', 'mail'), 4","('lie', 'lie'), 4","('decent', 'american'), 4","('never', 'seen'), 4","('american', 'citizen'), 4","('civil', 'right'), 4)]"
Trump_2016/Trump_2016-08-30.txt ," ('hillari', 'clinton'), 16","('african', 'american'), 12","('inner', 'citi'), 11","('crowd', 'chant'), 9","('want', 'thank'), 7","('chant', 'thank'), 6","('applaus', 'go'), 6","('applaus', 'crowd'), 6","('take', 'oh'), 6","('oh', 'tender'), 6","('tender', 'woman'), 6","('applaus', 'thank'), 5","('unit', 'state'), 5","('want', 'see'), 5","('go', 'happen'), 5","('make', 'america'), 5","('donald', 'trump'), 4","('state', 'washington'), 4","('job', 'applaus'), 4","('go', 'win'), 4)]"
Trump_2016/Trump_2016-08-31.txt ," ('illeg', 'immigr'), 25","('hillari', 'clinton'), 19","('unit', 'state'), 14","('unknown', '",,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-01-A.txt ," ('hillari', 'clinton'), 10","('applaus', 'go'), 7","('make', 'america'), 6","('build', 'wall'), 5","('go', 'win'), 4","('novemb', '8th'), 4","('four', 'year'), 4","('.<', 'applaus'), 4","('go', 'get'), 4","('go', 'protect'), 4","('way', 'go'), 3","('big', 'leagu'), 3","('applaus', 'want'), 3","('thank', 'everybodi'), 3","('back', 'job'), 3","('america', 'first'), 3","('first', 'applaus'), 3","('applaus', 'gonna'), 3","('manufactur', 'job'), 3","('trade', 'deficit'), 3)]"
Trump_2016/Trump_2016-09-01-B.txt ," ('american', 'legion'), 6","('unit', 'state'), 5","('thank', 'much'), 4","('applaus', 'trump'), 4","('make', 'america'), 4","('men', 'woman'), 3","('.<', 'applaus'), 3","('public', 'trust'), 3","('creat', 'new'), 3","('want', 'thank'), 2","('peopl', 'applaus'), 2","('applaus', 'want'), 2","('one', 'american'), 2","('respect', 'flag'), 2","('way', 'want'), 2","('make', 'sure'), 2","('care', 'world'), 2","('veteran', 'applaus'), 2","('applaus', 'go'), 2","('go', 'happen'), 2)]"
Trump_2016/Trump_2016-09-06-A.txt ," ('flynn', '",,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-06-B.txt ," ('hillari', 'clinton'), 20","('north', 'carolina'), 17","('e', 'mail'), 10","('donald', 'trump'), 7","('applaus', 'go'), 7","('african', 'american'), 7","('audienc', '",,,,,,,,,,,,,
Trump_2016/Trump_2016-09-07-A.txt ," ('hillari', 'clinton'), 12","('unit', 'state'), 12","('applaus', 'trump'), 10","('middl', 'east'), 7","('missil', 'defens'), 6","('foreign', 'polici'), 5","('countri', 'applaus'), 5","('radic', 'islam'), 4","('islam', 'terror'), 4","('presid', 'obama'), 4","('rebuild', 'militari'), 4","('applaus', 'one'), 4","('thank', 'much'), 3","('take', 'offic'), 3","('offic', 'ask'), 3","('receiv', 'subpoena'), 3","('barack', 'obama'), 3","('amount', 'money'), 3","('air', 'forc'), 3","('defens', 'capabl'), 3)]"
Trump_2016/Trump_2016-09-07-B.txt ," ('new', 'york'), 23","('think', 'go'), 9","('rubber', 'hose'), 8","('want', 'thank'), 7","('conserv', 'parti'), 6","('go', 'well'), 6","('go', 'bring'), 6","('go', 'play'), 5","('new', 'yorker'), 5","('long', 'time'), 4","('go', 'make'), 4","('make', 'product'), 4","('ice', 'skate'), 4","('mile', 'mile'), 4","('york', 'state'), 3","('thank', 'thank'), 3","('thank', 'everybodi'), 3","('applaus', 'want'), 3","('lot', 'peopl'), 3","('okay', 'go'), 3)]"
Trump_2016/Trump_2016-09-08.txt ," ('school', 'choic'), 16","('hillari', 'clinton'), 14","('new', 'york'), 7","('right', 'begin'), 7","('e', 'mail'), 6","('great', 'job'), 5","('last', 'night'), 5","('war', 'start'), 5","('inner', 'citi'), 5","('privat', 'school'), 5","('york', 'state'), 4","('job', 'back'), 4","('everi', 'child'), 4","('K', '12'), 4","('per', 'student'), 4","('public', 'privat'), 4","('20', 'billion'), 4","('follow', 'student'), 4","('donald', 'trump'), 3","('middl', 'east'), 3)]"
Trump_2016/Trump_2016-09-09-A.txt ," ('hillari', 'clinton'), 14","('school', 'choic'), 10","('african', 'american'), 7","('go', 'get'), 7","('get', 'rid'), 7","('unit', 'state'), 6","('inner', 'citi'), 6","('e', 'mail'), 6","('audio', 'gap'), 4","('gap', 'trump'), 4","('applaus', 'trump'), 4","('year', 'ago'), 4","('bring', 'back'), 4","('get', 'wors'), 4","('1', '7'), 4","('7', 'billion'), 4","('boot', 'ground'), 4","('thank', 'much'), 3","('lot', 'peopl'), 3","('peopl', 'said'), 3)]"
Trump_2016/Trump_2016-09-09-B.txt ," ('new', 'york'), 5","('york', 'state'), 5","('let', 'tell'), 4","('hillari', 'clinton'), 4","('go', 'happen'), 4","('trump', '!'), 4","('!', 'trump'), 4","('never', 'done'), 3","('applaus', 'go'), 3","('long', 'enough'), 3","('audienc', '",,,,,,,,,
