Title,Word1,Frequency1,Word2,Frequency2,Word3,Frequency3,Word4,Frequency4,Word5,Frequency5
Trump_2016/Trump_2016-11-03-A.txt , go,72, go,72, know,42, trump,37, hillari,35
Trump_2016/Trump_2016-11-03-B.txt , go,80, applaus,79, peopl,39, right,36, know,35
Trump_2016/Trump_2016-11-04-A.txt , peopl,51, peopl,51, go,44, trump,40, know,32
Trump_2016/Trump_2016-11-04-B.txt , cheer,87, applaus,87, go,64, crowd,32, know,32
Trump_2016/Trump_2016-11-04-C.txt , go,121, want,45, peopl,42, like,40, countri,38
Trump_2016/Trump_2016-11-05-A.txt , go,96, applaus,58, trump,49, know,48, want,44
Trump_2016/Trump_2016-11-05-B.txt , cheer,108, applaus,108, go,97, crowd,40, win,37
Trump_2016/Trump_2016-11-06.txt , go,80, ;,60, countri,40, peopl,35, great,25
Trump_2016/Trump_2016-11-07-A.txt , go,55, go,55, know,45, gonna,43, countri,42
Trump_2016/Trump_2016-11-07-B.txt , go,101, applaus,82, peopl,54, trump,36, know,36
Trump_2016/Trump_2016-11-07-C.txt , go,69, applaus,57, inaud,32, get,23, great,19
Trump_2016/Trump_2016-11-07-D.txt , go,70, go,70, peopl,51, great,38, want,30
Trump_2016/Trump_2016-11-08.txt , go,67, go,67, peopl,29, trump,24, michigan,23
Trump_2016/Trump_2016-11-09.txt , peopl,24, peopl,24, thank,23, great,22, want,13
