Title,Appearance,count
Trump_2016/Trump_2016-08-02.txt ,"('20', 'peopl')",9
Trump_2016/Trump_2016-08-04.txt ,"('applaus', ')')",19
Trump_2016/Trump_2016-08-05.txt ,"('go', 'win')",14
Trump_2016/Trump_2016-08-08.txt ,"('thank', 'thank')",11
Trump_2016/Trump_2016-08-10.txt ,"('go', 'make')",10
Trump_2016/Trump_2016-08-12-A.txt ,"('never', 'trump')",15
Trump_2016/Trump_2016-08-12-B.txt ,"('hillari', 'clinton')",14
Trump_2016/Trump_2016-08-15.txt ,"('hillari', 'clinton')",12
Trump_2016/Trump_2016-08-16.txt ,"('hillari', 'clinton')",14
Trump_2016/Trump_2016-08-17.txt ,,
Trump_2016/Trump_2016-08-18.txt ,"('audienc', ')",
Trump_2016/Trump_2016-08-19.txt ,"('audienc', ')",
Trump_2016/Trump_2016-08-22.txt ,"('african', 'american')",12
Trump_2016/Trump_2016-08-23.txt ,"('trump', '!')",22
Trump_2016/Trump_2016-08-24-A.txt ,"('african', 'american')",12
Trump_2016/Trump_2016-08-24-B.txt ,"('(', 'applaus')",14
Trump_2016/Trump_2016-08-25.txt ,"('african', 'american')",12
Trump_2016/Trump_2016-08-30.txt ,"('african', 'american')",12
Trump_2016/Trump_2016-08-31.txt ,"('hillari', 'clinton')",19
Trump_2016/Trump_2016-09-01-A.txt ,"('applaus', 'go')",7
Trump_2016/Trump_2016-09-01-B.txt ,"('unit', 'state')",5
Trump_2016/Trump_2016-09-06-A.txt ,,
Trump_2016/Trump_2016-09-06-B.txt ,"('north', 'carolina')",17
Trump_2016/Trump_2016-09-07-A.txt ,"('unit', 'state')",12
Trump_2016/Trump_2016-09-07-B.txt ,"('think', 'go')",9
Trump_2016/Trump_2016-09-08.txt ,"('hillari', 'clinton')",14
Trump_2016/Trump_2016-09-09-A.txt ,"('school', 'choic')",10
Trump_2016/Trump_2016-09-09-B.txt ,"('york', 'state')",5
Trump_2016/Trump_2016-09-09.txt ,"('school', 'choic')",10
Trump_2016/Trump_2016-09-12-A.txt ,,
Trump_2016/Trump_2016-09-12-B.txt ,"('nation', 'guard')",10
Trump_2016/Trump_2016-09-13-A.txt ,"('audienc', ')",
Trump_2016/Trump_2016-09-13-B.txt ,"('trump', 'trump')",7
Trump_2016/Trump_2016-09-13.txt ,"('audienc', ')",
Trump_2016/Trump_2016-09-16.txt ,,
Trump_2016/Trump_2016-09-17.txt ,"('illeg', 'immigr')",9
Trump_2016/Trump_2016-09-29.txt ,"('new', 'hampshir')",8
Trump_2016/Trump_2016-09-30.txt ,"('applaus', 'go')",12
Trump_2016/Trump_2016-10-03-A.txt ,,
Trump_2016/Trump_2016-10-03-B.txt ,"('(', 'applaus')",16
Trump_2016/Trump_2016-10-05.txt ,"('audienc', 'boo')",14
Trump_2016/Trump_2016-10-06.txt ,,
Trump_2016/Trump_2016-10-10-A.txt ,"('go', 'make')",14
Trump_2016/Trump_2016-10-10-B.txt ,"('hillari', 'clinton')",16
Trump_2016/Trump_2016-10-11.txt ,"('e', 'mail')",14
Trump_2016/Trump_2016-10-12.txt ,,
Trump_2016/Trump_2016-10-13.txt ,"('new', 'york')",10
Trump_2016/Trump_2016-10-14-A.txt ,"('applaus', 'go')",9
Trump_2016/Trump_2016-10-14-B.txt ,"('go', 'bring')",12
Trump_2016/Trump_2016-10-17.txt ,,
Trump_2016/Trump_2016-10-18.txt ,"('hillari', 'clinton')",9
Trump_2016/Trump_2016-10-21-A.txt ,,
Trump_2016/Trump_2016-10-21-B.txt ,"('hillari', 'clinton')",8
Trump_2016/Trump_2016-10-21-C.txt ,,
Trump_2016/Trump_2016-10-27.txt ,"('hillari', 'clinton')",9
Trump_2016/Trump_2016-10-28.txt ,"('hillari', 'clinton')",12
Trump_2016/Trump_2016-10-31.txt ,"('novemb', '8th')",9
Trump_2016/Trump_2016-11-01-A.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-01-B.txt ,"('applaus', 'thank')",6
Trump_2016/Trump_2016-11-02-A.txt ,"('hillari', 'clinton')",10
Trump_2016/Trump_2016-11-02-B.txt ,,
Trump_2016/Trump_2016-11-02-C.txt ,"('audienc', 'boo')",6
Trump_2016/Trump_2016-11-03-A.txt ,,
Trump_2016/Trump_2016-11-03-B.txt ,"('north', 'carolina')",16
Trump_2016/Trump_2016-11-04-A.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-04-B.txt ,"('crowd', 'react')",22
Trump_2016/Trump_2016-11-04-C.txt ,"('get', 'rid')",9
Trump_2016/Trump_2016-11-05-A.txt ,"('!', 'usa')",14
Trump_2016/Trump_2016-11-05-B.txt ,"('crowd', 'react')",25
Trump_2016/Trump_2016-11-06.txt ,"('countri', 'go')",9
Trump_2016/Trump_2016-11-07-A.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-07-B.txt ,,
Trump_2016/Trump_2016-11-07-C.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-07-D.txt ,"('hillari', 'clinton')",9
Trump_2016/Trump_2016-11-08.txt ,"('audienc', ')",
Trump_2016/Trump_2016-11-09.txt ,"('thank', 'thank')",4
Trump_2016/Trump_2016-07-22.txt ,"('(', 'applaus')",8
Trump_2016/Trump_2016-07-25.txt ,"('(', 'applaus')",17
Trump_2016/Trump_2016-07-26.txt ,"('unit', 'state')",6
Trump_2016/Trump_2016-07-27-A.txt ,,
Trump_2016/Trump_2016-07-27-B.txt ,"('go', 'make')",11
Trump_2016/Trump_2016-08-01.txt ,"('donald', 'trump')",11
Trump_2016/Trump_2016-08-02.txt ,"('go', 'happen')",9
Trump_2016/Trump_2016-08-04.txt ,"('donald', 'trump')",11
Trump_2016/Trump_2016-08-05.txt ,"('hillari', 'want')",11
Trump_2016/Trump_2016-08-08.txt ,"('applaus', 'thank')",10
Trump_2016/Trump_2016-08-10.txt ,"('build', 'wall')",10
Trump_2016/Trump_2016-08-12-A.txt ,"('hillari', 'clinton')",11
Trump_2016/Trump_2016-08-12-B.txt ,"('year', 'ago')",11
Trump_2016/Trump_2016-08-15.txt ,"('unit', 'state')",11
Trump_2016/Trump_2016-08-16.txt ,"('thank', 'thank')",8
Trump_2016/Trump_2016-08-17.txt ,,
Trump_2016/Trump_2016-08-18.txt ,,
Trump_2016/Trump_2016-08-19.txt ,,
Trump_2016/Trump_2016-08-22.txt ,"('applaus', 'go')",10
Trump_2016/Trump_2016-08-23.txt ,"('!', 'trump')",18
Trump_2016/Trump_2016-08-24-A.txt ,"('.<', 'applaus')",9
Trump_2016/Trump_2016-08-24-B.txt ,"('applaus', ')')",12
Trump_2016/Trump_2016-08-25.txt ,"('audienc', 'boo')",9
Trump_2016/Trump_2016-08-30.txt ,"('inner', 'citi')",11
Trump_2016/Trump_2016-08-31.txt ,"('unit', 'state')",14
Trump_2016/Trump_2016-09-01-A.txt ,"('make', 'america')",6
Trump_2016/Trump_2016-09-01-B.txt ,"('thank', 'much')",4
