Title,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency,Word,Frequency
Trump_2016/Trump_2016-08-12-B.txt , go,152, peopl,64, know,50, want,46, happen,44, said,43, like,42, countri,40, say,40, applaus,38, win,38, job,36, look,36, get,34, right,32, one,32, take,31, see,24, make,24, well,24, trump,23, state,23, folk,23, great,22, pennsylvania,22, build,22, stori,21, compani,20, hillari,20, clinton,20, way,19, let,19, tell,19, talk,19, much,18, work,18, year,18, money,18, thing,18, back,17, plant,17, would,17, OK,17, thank,16, think,16, good,16, world,16, put,16, got,16, new, 15]
Trump_2016/Trump_2016-08-15.txt , applaus,40, presid,25, isi,25, countri,25, terror,24, america,23, new,23, peopl,21, state,20, thank,19, clinton,19, islam,18, would,17, immigr,17, trump,16, today,16, radic,16, american,16, obama,16, one,15, nation,15, mani,15, said,15, world,13, way,13, must,13, war,12, hillari,12, iraq,12, oil,12, unit,11, time,11, attack,11, middl,11, east,11, u,11, also,11, make,10, year,10, enemi,10, call,10, everi,10, anoth,10, refuge,10, take,10, great,9, want,9, made,9, death,9, come, 8]
Trump_2016/Trump_2016-08-16.txt , applaus,64, peopl,38, countri,36, go,31, american,30, thank,25, trump,23, job,23, america,20, everi,20, time,19, !,18, mani,18, make,16, hillari,16, know,16, commun,15, citi,15, african,15, clinton,15, crime,14, want,14, first,13, milwauke,12, year,12, polic,12, new,12, system,12, one,11, vote,11, law,10, live,10, big,10, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-17.txt , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-18.txt , applaus,89, american,39, go,32, countri,31, peopl,26, trump,25, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-19.txt , applaus,61, go,45, job,42, trump,39, countri,35, american,28, hillari,26, audienc,25, clinton,25, one,19, work,18, michigan,17, peopl,17, get,17, back,16, futur,16, !,16, much,14, look,14, mani,14, happen,14, state,14, boo,13, new,13, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-22.txt , applaus,67, go,64, clinton,36, american,30, job,29, countri,29, hillari,26, get,24, state,23, peopl,23, know,23, one,22, work,17, year,17, back,16, want,16, thank,15, happen,15, new,15, trump,14, everi,14, anoth,14, say,14, got,14, depart,14, make,13, million,13, african,12, everybodi,11, pay,11, !,11, deal,10, believ,10, america,10, mani,10, fight,10, great,9, love,9, trade,9, compani,9, usa,9, percent,9, take,9, time,9, govern,9, campaign,8, win,8, mean,8, worker,8, money, 8]
Trump_2016/Trump_2016-08-23.txt , applaus,80, trump,72, go,52, audienc,48, !,37, thank,33, american,31, boo,31, clinton,27, peopl,26, countri,26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-24-A.txt , go,140, applaus,81, peopl,60, job,59, countri,48, american,38, trump,35, clinton,33, want,32, right,30, know,27, make,26, hillari,25, like,24, mani,22, great,22, back,21, percent,21, tax,21, protect,21, year,21, folk,20, get,20, happen,20, trade,19, bring,18, one,18, way,18, work,17, new,17, thing,17, china,17, state,16, hispan,16, build,16, creat,15, busi,15, america,15, money,14, better,14, take,14, million,14, look,14, bad,14, put,13, child,13, got,13, vote,13, think,13, world, 13]
Trump_2016/Trump_2016-08-24-B.txt , applaus,71, peopl,38, american,38, job,34, go,32, boo,29, countri,27, vote,26, clinton,24, thank,22, !,22, hillari,20, ,18, america,17, state,16, want,16, ,15, happen,14, u,14, believ,13, get,13, right,12, usa,12, one,12, unit,12, world,11, citizen,11, trump,10, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-25.txt , peopl,52, applaus,44, american,42, clinton,34, go,31, want,27, hillari,25, countri,25, make,24, trump,19, job,17, state,16, time,15, vote,15, back,15, see,15, know,14, right,13, work,13, happen,13, mani,13, great,12, like,12, get,12, year,12, african,12, new,11, take,11, boo,11, polici,11, citizen,10, one,10, audienc,10, crime,10, million,10, put,10, lie,10, fail,10, never,10, democrat,10, say,9, believ,9, govern,9, let,9, donor,9, look,9, percent,9, includ,9, support,9, citi, 9]
Trump_2016/Trump_2016-08-30.txt , applaus,89, go,51, countri,34, thank,30, peopl,29, american,27, job,22, know,21, take,21, state,20, clinton,20, hillari,19, want,18, happen,16, work,15, one,15, million,14, crowd,13, right,13, see,13, get,12, everi,12, african,12, great,11, futur,11, child,11, inner,11, citi,11, year,11, much,10, say,10, horribl,10, polici,10, percent,10, fight,10, parti,10, snake,10, trump,9, chant,9, like,9, come,9, said,9, ,", 9, believ, 9, talk, 9, better, 9, make, 9, bad, 9, woman, 9, win, 8]",,,,,,,,,,,,,,
Trump_2016/Trump_2016-08-31.txt , applaus,85, go,84, immigr,69, countri,57, trump,51, peopl,50, illeg,44, american,29, law,29, border,26, thank,25, year,25, ,23, state,23, one,23, mani,23, clinton,23, know,22, want,22, enforc,22, crimin,20, number,20, come,20, great,19, get,19, hillari,19, way,18, system,18, work,17, right,17, million,17, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-01-A.txt , go,53, applaus,47, job,26, back,17, clinton,16, fight,16, new,15, get,15, peopl,14, america,14, countri,13, american,12, gonna,12, trump,11, hillari,11, thank,10, great,10, work,10, state,10, deal,10, one,10, trade,9, million,9, win,8, want,8, come,8, big,8, lot,8, stop,8, wall,8, make,8, ohio,7, build,7, think,7, put,7, busi,7, protect,7, everi,7, govern,7, campaign,6, futur,6, boo,6, pay,6, reform,6, believ,6, know,5, realli,5, way,5, folk,5, everybodi, 5]
Trump_2016/Trump_2016-09-01-B.txt , applaus,30, american,24, go,16, countri,14, veteran,14, want,12, america,12, peopl,11, make,9, thank,8, one,8, work,8, trump,7, flag,7, state,7, everi,7, legion,6, great,6, job,6, best,6, also,6, includ,6, unit,6, world,6, nation,5, much,5, child,5, new,5, incred,4, defend,4, know,4, mani,4, import,4, help,4, ensur,4, u,4, respect,4, see,4, happen,4, need,4, care,4, time,4, V,4, public,4, get,4, honor,3, today,3, men,3, woman,3, tell, 3]
Trump_2016/Trump_2016-09-06-A.txt , go,85, know,70, peopl,68, applaus,49, get,42, say,39, think,38, want,37, look,34, trump,32, would,30, one,29, thing,28, deal,28, countri,26, like,24, right,24, isi,24, realli,23, OK,23, flynn,21, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trump_2016/Trump_2016-09-06-B.txt , applaus,84, go,64, peopl,47, countri,36, trump,26, !,25, one,25, clinton,25, job,24, right,23, hillari,22, back,20, american,20, great,19, win,19, like,19, get,18, year,18, rememb,18, north,17, carolina,17, way,16, mani,16, ever,15, know,14, make,14, vote,14, even,14, lot,13, tell,13, work,13, state,13, u,13, use,13, thank,12, want,12, say,12, mean,12, folk,12, happen,12, think,12, let,12, never,11, america,11, bring,11, gener,11, militari,11, believ,10, money,10, everi, 10]
Trump_2016/Trump_2016-09-07-A.txt , applaus,48, defens,22, countri,20, state,20, clinton,17, new,15, militari,15, trump,14, one,13, also,13, go,12, hillari,12, unit,12, billion,12, year,11, job,10, polici,9, world,9, make,9, rebuild,9, peopl,9, isi,9, cyber,9, obama,9, american,9, ship,9, need,9, protect,9, missil,9, america,8, nation,8, war,8, ever,8, say,8, take,8, ask,8, look,8, never,7, middl,7, east,7, presid,7, way,7, even,7, would,7, navi,7,0,7, thank,6, want,6, know,6, like, 6]
Trump_2016/Trump_2016-09-07-B.txt , go,49, know,30, new,29, want,28, york,23, applaus,22, said,21, state,18, thank,18, think,18, lot,18, peopl,14, great,14, well,14, one,14, realli,13, good,13, make,13, busi,13, Ed,12, happen,12, ice,12, back,11, come,11, like,11, mexico,11, long,10, laughter,10, time,10, much,10, win,10, would,10, build,10, play,9, job,9, got,9, went,9, thing,9, pour,9, mike,8, say,8, ad,8, bring,8, let,8, way,8, mile,8, rubber,8, hose,8, trump,7, republican, 7]
Trump_2016/Trump_2016-09-08.txt , school,39, job,28, go,28, state,23, great,20, choic,19, student,19, countri,18, said,18, american,18, war,18, hillari,17, clinton,17, peopl,16, right,16, new,14, everi,14, time,14, fail,14, billion,14, know,13, applaus,13, educ,13, get,12, mani,12, say,12, begin,12, citi,12, one,11, iraq,11, would,11, spend,11, child,11, money,10, lot,10, trump,9, take,9, rememb,9, million,9, nation,9, year,9, privat,9, want,8, realli,8, done,8, u,8, way,8, polici,8, even,8, dollar, 8]
Trump_2016/Trump_2016-09-09-A.txt , go,64, applaus,53, peopl,36, great,33, get,27, say,27, one,26, said,26, job,26, trump,24, know,24, want,23, countri,23, american,23, school,21, time,20, right,19, like,18, talk,18, clinton,16, u,16, way,15, hillari,14, laughter,14, would,14, state,13, believ,13, year,12, mani,12, even,12, rememb,12, thing,12, everi,12, use,12, choic,12, thank,11, lot,11, make,11, gonna,11, never,11, power,11, happen,11, see,11, realli,10, tell,10, christian,10, unit,10, true,10, today,10, back, 10]
Trump_2016/Trump_2016-09-09-B.txt , go,32, applaus,24, job,18, trump,13, countri,12, tell,10, make,9, china,9, happen,8, peopl,8, compani,8, let,7, new,7, state,7, ever,6, money,6, done,6, say,6, never,6, take,6, look,6, call,6, campaign,5, fight,5, donor,5, u,5, one,5, think,5, today,5, want,5, folk,5, get,5, clinton,5, trade,5, control,5, york,5, world,5, great,4, long,4, everi,4, hillari,4, boo,4, year,4, believ,4, know,4, way,4, nafta,4, deal,4, work,4, leader, 4]
Trump_2016/Trump_2016-09-09.txt , go,64, applaus,53, peopl,36, great,33, get,27, say,27, one,26, said,26, job,26, trump,24, know,24, want,23, countri,23, american,23, school,21, time,20, right,19, like,18, talk,18, clinton,16, u,16, way,15, hillari,14, laughter,14, would,14, state,13, believ,13, year,12, mani,12, even,12, rememb,12, thing,12, everi,12, use,12, choic,12, thank,11, lot,11, make,11, gonna,11, never,11, power,11, happen,11, see,11, realli,10, tell,10, christian,10, unit,10, true,10, today,10, back, 10]
Trump_2016/Trump_2016-09-12-A.txt , go,62, peopl,53, applaus,41, trump,35, american,34, unknown,26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
